Marca temporal,Curso,Opinión General Sobre el Curso,¿Aprobó la Cursada?,¿Cómo te Resultaron los Temas de la Materia?,¿Los Temas de la Materia Están Actualizados?,Nivel de las Clases Teóricas del Curso,Nivel de las Clases Prácticas del Curso,Dificultad del Curso,Dificultad del TP,Comentarios Sobre el Curso,¿Tenes algun comentario o sugerencia sobre la cursada virtual de este cuatrimestre?
8/26/2020 18:41:48,Arquitectura de Software - Calonico,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,"Excelente materia, de las mejores de la carrera, tanto por sus temas como por los docentes.
Los temas son super actuales y relevantes. Y se nota que los profesores tienen experiencia en los temas y son muy claros al explicarlos.
Los TPs son excelentes.","La cursada virtual fue muy amena.
Al ser clases de cuatro horas puede hacerse un poco duro, pero al cursarse una vez por semana no creo que haya mucha opcion (sin recortar temas)."
8/26/2020 18:45:50,Teoria de Algoritmos I - Wachenchauzer,Excelente,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,,"Me parecio muy bueno que se graben los videos de la practica para poder verlos de forma asincrona.
El profesor siempre se mostro abierto a la comunicacion por cualquier cuestion, lo cual aliviano el tema de la distancia al ser una cursada virtual."
8/26/2020 18:46:12,Simulacion - Caiafa,Muy Bueno,Si,Muy Interesantes,Si,Muy Buenas,Muy Buenas,Normal,Normal,,
8/26/2020 18:47:04,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Dificil,"Muy buen curso, se dusfrutaba aprender y tener clase.  Se adaptaron muy bien a la virtualidad y los profesores se organizaban muy bien entre teorica y practica. Personalmente no tenia conocimientos previos y si bien el curso tenia cierto nivel de complejidad, aprendi mucho en la cursada y me fue una buena primera experiencia con la programacion.
 El sistema de evaluacion que utilizan me gusto mucho y muy interesantes los Tps.
",
8/26/2020 18:51:49,Computacion - Cabrera,Muy Bueno,Si,Interesantes,Si,Buenas,Excelentes,Dificil,Dificil,,
8/26/2020 18:55:25,Algoritmos y Programacion I (Informatica) - Essaya,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,"Excelente organizacion, fue un placer cursarla",
8/26/2020 18:57:15,Teoria de la Programacion / Teoria del Lenguaje - Ferrigno,Excelente,Si,Muy Interesantes,Si,Excelentes,Excelentes,Normal,Normal,"Muy buena materia. Creo que los temas con muy relevantes ya que se los suele pasar por alto en materias obligatorias.
La idea del TP creo que es excelente, permite investigar algo que a uno le interesa y aprender un monton. Como el resto de los alumnos hace lo mismo, se aprende un monton de un monton de cosas distintas.","Las clases en general me parecieron muy amenas e interesantes. Algunas (pocas) clases fueron algo pesadas (por ser temas complicados o clases largas), pero creo que hubiera sido igual si hubieran sido presenciales. En general creo que se adaptaron muy bien. Me parecio bueno poder comunicarnos por Slack.

Una oportunidad de mejora quizas seria poner la fecha de entrega del TP un poco antes que en este cuatrimestre, para poder ver los videos con mayor antelacion al cierre del cuatrimestre."
8/26/2020 19:01:50,Analisis Numerico I/Metodos Matematicos y Numericos - Schwarz,Bueno,Si,Interesantes,Si,Buenas,Buenas,Normal,Normal,"Hubiera estado bueno tener un calendario mas claro, para saber cuando y de que manera se nos iba a evaluar.",
8/26/2020 19:03:45,Base de Datos - Beiro,Excelente,Si,Muy Interesantes,Si,Excelentes,Muy Buenas,Normal,No hay TP,,
8/26/2020 19:12:56,Introduccion a los Sistemas Distribuidos  - Carisimo,Muy Bueno,Si,Muy Interesantes,Si,Excelentes,Regulares,Dificil,Dificil,"Las clases teoricas creo que fueron excelentes, muy bien adaptadas a la modalidad virtual, senti que no hubo diferencia con estar en el aula.
La practica creo que tambien se adapto bien a la virtualidad, pero igualmente creo que hay varios problemas no relacionadas con esta. Lo peor sin dudas son los ejercicios semanales en el Campus. Hay preguntas *muy* ambiguas que hacen que uno se equivoque incluso sabiendo el concepto. Tambien hubo diapositivas con errores, lo que hizo que muchos alumnos se equivoquen en ejercicios semanales, al seguir el metodo de resolucion de las diapositivas.
Por otro lado, en el ultimo TP se pide implementar cosas que no son del todo cubiertas en la materia (tal vez si a nivel teorico, pero no a nivel practico), lo cual lo dificulta. La situacion empeoro cuando se hicieron varias consultas por Slack respecto del TP que no fueron respondidas. Y para terminar, las notas del ultimo TP fueron entregadas un mes despues de entregado el TP, cuando ya no teniamos clases (calculo que esto puede llegar a deberse por falta de docentes disponibles para corregir, pero igual creo que es mucho tiempo).

Mas alla de las cosas malas, creo que tambien es justo destacar a Francisco, parte del equipo de la practica. Personalmente, me parecio el mejor docente de la practica. Demostro dominio sobre todos los temas que explico, fue claro y siempre se preocupo por que se entiendan los conceptos.",Ajustar las preguntas de los ejercicios semanales para que no sean ambiguas.
8/26/2020 19:15:46,Computacion - Cabrera,Bueno,Si,Interesantes,Si,Buenas,Buenas,Normal,Normal,,
8/26/2020 19:17:48,Lenguajes de Formales - Corsi,Bueno,Si,Muy Interesantes,Si,Buenas,Regulares,Facil,Normal,,
8/26/2020 19:18:23,Analisis Numerico/Metodos Matematicos y Numericos - Rodriguez,Bueno,Si,Poco Interesantes,Si,Buenas,Buenas,Normal,Dificil,"El curso esta bien, el tema es que preferiria haberla cursado de manera presencial","En un principio la organizacion del campus resulto confusa, los foros son dificiles de seguir el hilo. Creo que se podria revisar eso, todo lo demas estuvo bien."
